fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Rousimar Palhares,-220.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Jim Miller,-320.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Nate Diaz,-235.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Ben Saunders,295.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Jon Fitch,-325.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Lyoto Machida,-190.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
Mauricio Rua,175.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
Matt Mitrione,-107.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
Jeremy Stephens,175.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
Tom Lawlor,-600.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
John Salter,155.0,,https://www.bestfightodds.com/events/ufc-113-machida-vs-shogun-ii-247,http://www.ufcstats.com/event-details/d0c29452d3272603,ufc-113-machida-vs-shogun-ii-247,UFC 113: Machida vs Shogun 2
Chuck Liddell,-119.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
