,0,odds_search,fighter_odds_url
133,Eddie Wineland,https://www.bestfightodds.com/search?query=Eddie Wineland,/fighters/Eddie-Wineland-1173
134,Tim Means,https://www.bestfightodds.com/search?query=Tim Means,/fighters/Tim-Means-3125
135,Ricardo Ramos,https://www.bestfightodds.com/search?query=Ricardo Ramos,/fighters/Ricardo-Ramos-5477
136,Adrian Yanez,https://www.bestfightodds.com/search?query=Adrian Yanez,/fighters/Adrian-Yanez-4952
137,Calvin Kattar,https://www.bestfightodds.com/search?query=Calvin Kattar,/fighters/Calvin-Kattar-717
138,Damir Ismagulov,https://www.bestfightodds.com/search?query=Damir Ismagulov,/fighters/Damir-Ismagulov-8333
139,Phil Hawes,https://www.bestfightodds.com/search?query=Phil Hawes,/fighters/Phil-Hawes-5712
140,Julian Marquez,https://www.bestfightodds.com/search?query=Julian Marquez,/fighters/Julian-Marquez-5998
141,Jasmine Jasudavicius,https://www.bestfightodds.com/search?query=Jasmine Jasudavicius,/fighters/Jasmine-Jasudavicius-9869
142,Joaquin Buckley,https://www.bestfightodds.com/search?query=Joaquin Buckley,/fighters/Joaquin-Buckley-6458
143,Maria Oliveira,https://www.bestfightodds.com/search?query=Maria Oliveira,/fighters/Maria-Oliveira-7507
144,Court McGee,https://www.bestfightodds.com/search?query=Court McGee,
145,Roman Dolidze,https://www.bestfightodds.com/search?query=Roman Dolidze,/fighters/Roman-Dolidze-9094
146,Liang Na,https://www.bestfightodds.com/search?query=Liang Na,/fighters/Hui-Liang-10544
147,Maheshate Steve,https://www.bestfightodds.com/search?query=Maheshate Steve,/fighters/Maheshate-12733
148,Glover Teixeira,https://www.bestfightodds.com/search?query=Glover Teixeira,/fighters/Glover-Teixeira-1477
149,SeungWoo Choi,https://www.bestfightodds.com/search?query=SeungWoo Choi,/fighters/Seungwoo-Choi-9685
150,Zhang Weili,https://www.bestfightodds.com/search?query=Zhang Weili,/fighters/Weili-Zhang-7955
151,Ramona Pascual,https://www.bestfightodds.com/search?query=Ramona Pascual,/fighters/Ramona-Pascual-13078
152,Brendan Allen,https://www.bestfightodds.com/search?query=Brendan Allen,/fighters/Brendan-Allen-6203
153,Valentina Shevchenko,https://www.bestfightodds.com/search?query=Valentina Shevchenko,/fighters/Valentina-Shevchenko-5475
154,Kyung Ho,https://www.bestfightodds.com/search?query=Kyung Ho,/fighters/Kyung-Pyo-Kim-13041
155,Jack Della,https://www.bestfightodds.com/search?query=Jack Della,/fighters/Jack-Della-Maddalena-7492
156,Andre Fialho,https://www.bestfightodds.com/search?query=Andre Fialho,/fighters/Andre-Fialho-6170
157,Jeff Molina,https://www.bestfightodds.com/search?query=Jeff Molina,/fighters/Jeff-Molina-7380
158,Karine Silva,https://www.bestfightodds.com/search?query=Karine Silva,/fighters/Karine-Silva-7814
159,Niklas Stolze,https://www.bestfightodds.com/search?query=Niklas Stolze,/fighters/Niklas-Stolze-6869
160,Alonzo Menifield,https://www.bestfightodds.com/search?query=Alonzo Menifield,/fighters/Alonzo-Menifield-5961
161,Felice Herrig,https://www.bestfightodds.com/search?query=Felice Herrig,
162,Johnny Munoz,https://www.bestfightodds.com/search?query=Johnny Munoz,/fighters/Johnny-Munoz-10840
163,Rinat Fakhretdinov,https://www.bestfightodds.com/search?query=Rinat Fakhretdinov,/fighters/Rinat-Fakhretdinov-13557
164,Joe Solecki,https://www.bestfightodds.com/search?query=Joe Solecki,/fighters/Joe-Solecki-9559
165,Alexander Volkov,https://www.bestfightodds.com/search?query=Alexander Volkov,/fighters/Alexander-Volkov-2439
166,Michael Trizano,https://www.bestfightodds.com/search?query=Michael Trizano,/fighters/Michael-Trizano-7678
167,Dan Ige,https://www.bestfightodds.com/search?query=Dan Ige,
168,Damon Jackson,https://www.bestfightodds.com/search?query=Damon Jackson,/fighters/Damon-Jackson-3828
169,Erin Blanchfield,https://www.bestfightodds.com/search?query=Erin Blanchfield,/fighters/Erin-Blanchfield-8336
170,Joseph Holmes,https://www.bestfightodds.com/search?query=Joseph Holmes,/fighters/Joseph-Holmes-9008
171,Chase Hooper,https://www.bestfightodds.com/search?query=Chase Hooper,/fighters/Chase-Hooper-8425
172,Jonathan Martinez,https://www.bestfightodds.com/search?query=Jonathan Martinez,/fighters/Jonathan-Martinez-5932
173,Elise Reed,https://www.bestfightodds.com/search?query=Elise Reed,/fighters/Elise-Reed-9554
174,Omar Morales,https://www.bestfightodds.com/search?query=Omar Morales,/fighters/Omar-Morales-8450
175,Eryk Anders,https://www.bestfightodds.com/search?query=Eryk Anders,/fighters/Eryk-Anders-6686
176,Santiago Ponzinibbio,https://www.bestfightodds.com/search?query=Santiago Ponzinibbio,/fighters/Santiago-Ponzinibbio-4415
177,Polyana Viana,https://www.bestfightodds.com/search?query=Polyana Viana,/fighters/Polyana-Viana-7817
178,Chidi Njokuani,https://www.bestfightodds.com/search?query=Chidi Njokuani,/fighters/Chidi-Njokuani-2452
179,Holly Holm,https://www.bestfightodds.com/search?query=Holly Holm,/fighters/Holly-Holm-3908
180,Jake Hadley,https://www.bestfightodds.com/search?query=Jake Hadley,/fighters/Jake-Hadley-9411
181,Nick Maximov,https://www.bestfightodds.com/search?query=Nick Maximov,/fighters/Nick-Maximov-10315
182,Ryan Spann,https://www.bestfightodds.com/search?query=Ryan Spann,/fighters/Ryan-Spann-3502
183,Katlyn Chookagian,https://www.bestfightodds.com/search?query=Katlyn Chookagian,
184,Viviane Araujo,https://www.bestfightodds.com/search?query=Viviane Araujo,/fighters/Viviane-Araujo-9155
185,Frank Camacho,https://www.bestfightodds.com/search?query=Frank Camacho,/fighters/Frank-Camacho-7287
186,Jan Blachowicz,https://www.bestfightodds.com/search?query=Jan Blachowicz,/fighters/Jan-Blachowicz-2371
187,Virna Jandiroba,https://www.bestfightodds.com/search?query=Virna Jandiroba,/fighters/Virna-Jandiroba-7726
188,Tatsuro Taira,https://www.bestfightodds.com/search?query=Tatsuro Taira,
189,Davey Grant,https://www.bestfightodds.com/search?query=Davey Grant,/fighters/Davey-Grant-4074
190,Charles Oliveira,https://www.bestfightodds.com/search?query=Charles Oliveira,/fighters/Charles-Oliveira-1893
191,Rose Namajunas,https://www.bestfightodds.com/search?query=Rose Namajunas,/fighters/Rose-Namajunas-3803
192,Ariane Carnelossi,https://www.bestfightodds.com/search?query=Ariane Carnelossi,/fighters/Ariane-Carnelossi-9317
193,Mauricio Rua,https://www.bestfightodds.com/search?query=Mauricio Rua,/fighters/Mauricio-Rua-110
194,Blagoy Ivanov,https://www.bestfightodds.com/search?query=Blagoy Ivanov,/fighters/Blagoy-Ivanov-6929
195,Kleydson Rodrigues,https://www.bestfightodds.com/search?query=Kleydson Rodrigues,/fighters/Kleydson-Rodrigues-12497
196,Michael Chandler,https://www.bestfightodds.com/search?query=Michael Chandler,/fighters/Michael-Chandler-2158
197,Macy Chiasson,https://www.bestfightodds.com/search?query=Macy Chiasson,/fighters/Macy-Chiasson-8148
198,Randy Brown,https://www.bestfightodds.com/search?query=Randy Brown,/fighters/Randy-Brown-6139
199,Francisco Trinaldo,https://www.bestfightodds.com/search?query=Francisco Trinaldo,/fighters/Francisco-Trinaldo-3486
200,Brandon Royval,https://www.bestfightodds.com/search?query=Brandon Royval,/fighters/Brandon-Royval-7031
201,Journey Newson,https://www.bestfightodds.com/search?query=Journey Newson,
202,Tracy Cortez,https://www.bestfightodds.com/search?query=Tracy Cortez,/fighters/Tracy-Cortez-7427
203,Gabe Green,https://www.bestfightodds.com/search?query=Gabe Green,/fighters/Gabe-Green-10506
204,Andrei Arlovski,https://www.bestfightodds.com/search?query=Andrei Arlovski,/fighters/Andrei-Arlovski-487
205,Krzysztof Jotko,https://www.bestfightodds.com/search?query=Krzysztof Jotko,/fighters/Krzysztof-Jotko-4134
206,Rob Font,https://www.bestfightodds.com/search?query=Rob Font,/fighters/Rob-Font-4984
207,Jared Gordon,https://www.bestfightodds.com/search?query=Jared Gordon,/fighters/Jared-Gordon-2971
208,Natan Levy,https://www.bestfightodds.com/search?query=Natan Levy,/fighters/Natan-Levy-9159
209,Gina Mazany,https://www.bestfightodds.com/search?query=Gina Mazany,/fighters/Gina-Mazany-6992
210,Alexandr Romanov,https://www.bestfightodds.com/search?query=Alexandr Romanov,/fighters/Alexandr-Romanov-10383
211,Andre Fili,https://www.bestfightodds.com/search?query=Andre Fili,/fighters/Andre-Fili-4466
212,Darren Elkins,https://www.bestfightodds.com/search?query=Darren Elkins,/fighters/Darren-Elkins-1768
213,Lando Vannata,https://www.bestfightodds.com/search?query=Lando Vannata,/fighters/Lando-Vannata-4341
214,Clay Guida,https://www.bestfightodds.com/search?query=Clay Guida,/fighters/Clay-Guida-23
215,Aoriqileng Cameron,https://www.bestfightodds.com/search?query=Aoriqileng Cameron,/fighters/Cameron-Else-4409
