,Unnamed: 0,Fighter_Name,SigStrike_Standing,SigStrike_Standing_Percent,SigStrike_Clinch,SigStrike_Clinch_Percent,SigStrike_Ground,SigStrike_Ground_Percent,Fighting_Style,Height,Weight,Octagon_Debut,Reach,Leg_Reach,Trains_At
204,0,Bethe Correia,573.0,86,87.0,13.0,4.0,1.0,,65.0,138.5,"Dec. 07, 2013",64.0,36.5,
205,0,Bevon Lewis,153.0,64,69.0,29.0,16.0,7.0,,75.0,185.0,"Aug. 29, 2017",79.0,44.0,
206,0,Bharat Kandare,3.0,100%,0.0,0.0,0.0,0.0,,67.0,145.0,"Nov. 25, 2017",72.0,40.0,
207,0,Bill Algeo,428.0,78,71.0,13.0,51.0,9.0,,72.0,146.0,"Aug. 29, 2020",73.0,40.0,
208,0,Bill Mahood,1.0,100%,0.0,0.0,0.0,0.0,,72.0,204.0,,,,
209,0,Billy Miles,0.0,0 %,0.0,0.0,0.0,0.0,,70.0,170.0,,,,
210,0,Billy Quarantillo,435.0,64,113.0,1.0,129.0,1.0,,70.0,145.4,"Dec. 07, 2019",70.0,38.0,
211,0,BJ Penn,672.0,59,258.0,2.0,216.0,1.0,,69.0,155.5,"May. 04, 2001",70.0,37.5,
212,0,Blagoy Ivanov,299.0,87,37.0,11.0,8.0,2.0,MMA,71.0,253.5,"Sep. 22, 2022",73.0,42.0,
213,0,Bob Cook,,,,,,,,0.0,0.0,,,,
214,0,Bob Gilstrap,,,,,,,,0.0,0.0,,,,
215,0,Bobby Green,1195.0,7,199.0,1.0,117.0,8.0,MMA,70.0,158.0,"May. 20, 2012",71.0,40.0,
216,0,Bobby Hoffman,1.0,4%,22.0,85.0,3.0,12.0,,74.0,254.0,,,,
217,0,Bobby Moffett,119.0,80,4.0,3.0,26.0,17.0,,70.0,146.0,"Nov. 10, 2018",73.0,40.0,
218,0,Bobby Nash,45.0,69%,18.0,28.0,2.0,3.0,,72.0,170.5,"Jan. 29, 2017",74.0,42.0,
219,0,Bobby Southworth,19.0,90%,1.0,5.0,1.0,5.0,,74.0,204.0,,,,
220,0,Bobby Voelker,120.0,63,55.0,29.0,16.0,8.0,,72.0,170.5,"Mar. 16, 2013",74.0,,
221,0,Bojan Mihajlovic,21.0,81%,5.0,19.0,0.0,0.0,,71.0,205.0,"Jul. 24, 2016",73.0,41.0,
222,0,Bojan Velickovic,166.0,85,19.0,10.0,10.0,5.0,,72.0,170.0,"Apr. 10, 2016",76.0,41.0,
223,0,Boston Salmon,54.0,74%,19.0,26.0,0.0,0.0,,69.0,135.5,"Jul. 11, 2017",69.0,39.0,
224,0,Brad Blackburn,255.0,87,16.0,5.0,23.0,8.0,,70.0,170.0,,,,
225,0,Brad Gumm,,,,,,,,0.0,0.0,,,,
226,0,Brad Imes,68.0,57%,33.0,28.0,18.0,15.0,,79.0,261.0,,,,
227,0,Brad Katona,151.0,76,20.0,10.0,29.0,15.0,,66.0,135.0,"Jul. 06, 2018",64.5,36.0,
228,0,Brad Kohler,,,,,,,,0.0,0.0,,,,
