,Unnamed: 0,Fighter_A,Fighter_B,A_Kd,B_Kd,A_Sig_strike_land,A_Sig_strike_att,B_Sig_strike_land,B_Sig_strike_att,A_Sig_strike_percent,B_Sig_strike_percent,A_Total_Strikes,B_Total_Strikes,A_Total_Strikes_land,A_Total_Strikes_att,B_Total_Strikes_land,B_Total_Strikes_att,A_Total_Strikes_percent,B_Total_Strikes_percent,A_Takedowns_land,A_Takedowns_att,B_Takedowns_land,B_Takedowns_att,A_Takedown_percent,B_Takedown_percent,A_Sub_Attempts_land,A_Sub_Attempts_att,B_Sub_Attempts_land,B_Sub_Attempts_att,A_Rev,B_Rev,A_Ctrl_time_min,A_Ctrl_time_sec,B_Ctrl_time_min,B_Ctrl_time_sec,A_Ctrl_time_tot,B_Ctrl_time_tot,details,event_title,event_url,date,Winner
2243,0,Mauricio Rua,Akihiro Gono,1,0,63,153,11,32,0.41,0.34,69 of 162,14 of 35,69,162,14,35,0.4259259259259259,0.4,0,2,1,2,0.0,0.5,0,,0,,0,0,0,,0,,,,Punches to Head At Distance,PRIDE Bushido 2,http://www.ufcstats.com/event-details/12458872d6afae1b,"February 15, 2004",Mauricio Rua
2244,0,Journey Newson,Fernie Garcia,0,0,57,143,37,103,0.39,0.35,63 of 150,38 of 104,63,150,38,104,0.42,0.3653846153846153,2,3,0,0,0.6666666666666666,,0,,0,,0,0,0,42.0,0,2.0,42.0,2.0,Junichiro Kamijo                                     27 - 30.          Chris Lee                                     27 - 30.          Brad Frank                                     28 - 29.,UFC 274: Oliveira vs. Gaethje,http://www.ufcstats.com/event-details/253d3f9e97ca149a,"May 07, 2022",Journey Newson
2245,0,Zhang Weili,Joanna Jedrzejczyk,1,0,69,102,43,85,0.67,0.5,94 of 130,44 of 86,94,130,44,86,0.7230769230769231,0.5116279069767442,3,6,0,0,0.5,,0,,0,,0,0,2,49.0,0,0.0,169.0,0.0,Spinning Back Fist Head,UFC 275: Teixeira vs. Prochazka,http://www.ufcstats.com/event-details/3a24769a4855040a,"June 11, 2022",Zhang Weili
2246,0,Alan Belcher,Kalib Starnes,0,0,57,100,40,89,0.57,0.44,61 of 104,45 of 94,61,104,45,94,0.5865384615384616,0.4787234042553192,0,0,1,3,,0.3333333333333333,0,,0,,0,0,0,51.0,0,28.0,51.0,28.0,Facial Cut,UFC 77: Hostile Territory,http://www.ufcstats.com/event-details/91181b29be041f1c,"October 20, 2007",Alan Belcher
2247,0,Glaico Franca,Moreira Fernando,0,0,23,31,20,32,0.74,0.62,47 of 57,41 of 53,47,57,41,53,0.8245614035087719,0.7735849056603774,4,9,2,11,0.4444444444444444,0.1818181818181818,1,,0,,0,0,6,40.0,5,36.0,400.0,336.0,Rear Naked Choke,UFC 190: Rousey vs Correia,http://www.ufcstats.com/event-details/a9c45a8b21eabadc,"August 01, 2015",Glaico Franca Moreira
2248,0,Nick Diaz,Mike Aina,0,0,95,234,43,127,0.4,0.33,217 of 380,50 of 137,217,380,50,137,0.5710526315789474,0.364963503649635,2,7,0,1,0.2857142857142857,0.0,1,,0,,0,0,0,,0,,,,Richie Cabinian                                     27 - 30.          Mike Onzuka                                     29 - 28.          Kyle Takao                                     28 - 29.,EliteXC - Uprising,http://www.ufcstats.com/event-details/d56caaa5e123f518,"September 15, 2007",Nick Diaz
2249,0,Felipe Arantes,Andre Fili,0,0,29,63,42,102,0.46,0.41,43 of 78,66 of 135,43,78,66,135,0.5512820512820513,0.4888888888888889,3,5,5,8,0.6,0.625,1,,1,,2,2,5,14.0,6,32.0,314.0,392.0,Marco Borges                                     28 - 29.          Guilherme Bravo                                     28 - 29.          Eric Colon                                     28 - 29.,UFC 179: Aldo vs Mendes 2,http://www.ufcstats.com/event-details/53f02bbc41d99432,"October 25, 2014",Andre Fili
2250,0,Bubba Bush,Garreth McLellan,0,0,8,14,97,133,0.57,0.72,31 of 41,163 of 206,31,41,163,206,0.7560975609756098,0.7912621359223301,3,6,2,5,0.5,0.4,0,,1,,0,0,5,58.0,7,47.0,358.0,467.0,Punches to Head From Half Guard,UFC Fight Night: Holohan vs Smolka,http://www.ufcstats.com/event-details/f3155a94ca420126,"October 24, 2015",Garreth McLellan
2251,0,Geoff Neal,Brian Camozzi,0,0,14,31,7,29,0.45,0.24,15 of 32,9 of 32,15,32,9,32,0.46875,0.28125,0,0,0,0,,,1,,0,,0,0,1,7.0,0,0.0,67.0,0.0,Rear Naked Choke,UFC Fight Night: Cerrone vs. Medeiros,http://www.ufcstats.com/event-details/d181689653115b6a,"February 18, 2018",Geoff Neal
2252,0,Alejandro Perez,Scott Jorgensen,0,0,39,91,11,37,0.42,0.29,42 of 94,11 of 37,42,94,11,37,0.4468085106382978,0.2972972972972973,0,0,2,6,,0.3333333333333333,0,,0,,0,0,0,15.0,0,48.0,15.0,48.0,to          Leg Injury,UFC Fight Night: Magny vs Gastelum,http://www.ufcstats.com/event-details/243b07fc65ccbb16,"November 21, 2015",Alejandro Perez
2253,0,Jim Miller,Takanori Gomi,0,0,8,26,1,5,0.3,0.2,13 of 32,1 of 5,13,32,1,5,0.40625,0.2,1,1,0,0,1.0,,0,,0,,0,0,1,33.0,0,0.0,93.0,0.0,Punches to Head From Back Control,UFC 200: Tate vs Nunes,http://www.ufcstats.com/event-details/aa5b4eff51bdc7d1,"July 09, 2016",Jim Miller
2254,0,Renato Moicano,Jai Herbert,0,0,26,41,7,25,0.63,0.28,61 of 83,18 of 38,61,83,18,38,0.7349397590361446,0.4736842105263157,5,7,0,0,0.7142857142857143,,1,,0,,0,0,7,35.0,0,8.0,455.0,8.0,Rear Naked Choke,UFC Fight Night: Gane vs. Volkov,http://www.ufcstats.com/event-details/a1d6b308781aa2f5,"June 26, 2021",Renato Moicano
2255,0,Ross Pearson,Junior Assuncao,0,0,52,89,43,69,0.58,0.62,87 of 127,50 of 77,87,127,50,77,0.6850393700787402,0.6493506493506493,1,1,3,18,1.0,0.1666666666666666,0,,0,,0,0,1,56.0,5,39.0,116.0,339.0,Adalaide Byrd                                     28 - 29.          Junichiro Kamijo                                     28 - 29.          Glenn Trowbridge                                     27 - 30.,UFC 141: Lesnar vs Overeem,http://www.ufcstats.com/event-details/91720876db0ee468,"December 30, 2011",Ross Pearson
2256,0,Nordine Taleb,Muslim Salikhov,0,1,6,26,10,23,0.23,0.43,6 of 26,10 of 23,6,26,10,23,0.2307692307692307,0.4347826086956521,0,0,0,0,,,0,,0,,0,0,0,0.0,0,2.0,0.0,2.0,Punch to Head At Distance,UFC 242: Khabib vs. Poirier,http://www.ufcstats.com/event-details/a79bfbc01b2264d6,"September 07, 2019",Muslim Salikhov
2257,0,Alex Karalexis,Anthony Pettis,0,0,9,28,16,34,0.32,0.47,12 of 31,26 of 44,12,31,26,44,0.3870967741935484,0.5909090909090909,3,7,0,0,0.4285714285714285,,0,,1,,0,0,2,46.0,0,3.0,166.0,3.0,Triangle Choke From Bottom Guard,WEC 48: Aldo vs. Faber,http://www.ufcstats.com/event-details/b18fb36a4aa00093,"April 24, 2010",Anthony Pettis
2258,0,Davey Grant,Louis Smolka,1,0,81,197,71,139,0.41,0.51,84 of 200,75 of 145,84,200,75,145,0.42,0.5172413793103449,0,1,0,3,0.0,0.0,0,,0,,0,0,0,35.0,0,35.0,35.0,35.0,Punches to Head On Ground,UFC Fight Night: Blachowicz vs. Rakic,http://www.ufcstats.com/event-details/60ba33c3f555a7a3,"May 14, 2022",Davey Grant
