,Unnamed: 0,fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event
11,11,Artem Lobov,Alex White,Featherweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
0,0,Justin Gaethje,James Vick,Lightweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
1,1,Michael Johnson,Andre Fili,Featherweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018
2,2,Cortney Casey,Angela Hill,Women's Strawweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018
3,3,Jake Ellenberger,Bryan Barberena,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
4,4,John Moraga,Deiveson Figueiredo,Flyweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
5,5,Eryk Anders,Tim Williams,Middleweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
6,6,James Krause,Warlley Alves,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
7,7,Cory Sandhagen,Iuri Alcantara,Bantamweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018
8,8,Andrew Sanchez,Markus Perez,Middleweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018
9,9,Mickey Gall,George Sullivan,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018
10,10,Joanne Wood,Kalindra Faria,Women's Flyweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018
11,11,Drew Dober,Jon Tuck,Lightweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018
12,12,Rani Yahya,Luke Sanders,Bantamweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018
0,0,Stephen Thompson,Darren Till,Welterweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018
1,1,Neil Magny,Craig White,Welterweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,KO/TKO,fight-night-liverpool-2018
2,2,Arnold Allen,Mads Burnell,Featherweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,SUB,fight-night-liverpool-2018
3,3,Jason Knight,Makwan Amirkhani,Featherweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018
4,4,Claudio Silva,Nordine Taleb,Welterweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,SUB,fight-night-liverpool-2018
5,5,Eric Spicely,Darren Stewart,Middleweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,KO/TKO,fight-night-liverpool-2018
6,6,Daniel Kelly,Tom Breese,Middleweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,KO/TKO,fight-night-liverpool-2018
7,7,Lina Lansberg,Gina Mazany,Women's Bantamweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018
8,8,Bradley Scott,Carlo Pedersoli,Welterweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018
9,9,Gillian Robertson,Molly McCann,Women's Flyweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,SUB,fight-night-liverpool-2018
10,10,Elias Theodorou,Trevor Smith,Middleweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018
0,0,Mark Hunt,Aleksei Oleinik,Heavyweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,SUB,fight-night-moscow-sept-15-2018
1,1,Jan Błachowicz,Nikita Krylov,Light Heavyweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,SUB,fight-night-moscow-sept-15-2018
2,2,Andrei Arlovski,Shamil Abdurakhimov,Heavyweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
