fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Ryan LaFlare,Alex Garcia,Welterweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Merab Dvalishvili,Ricky Simon,Bantamweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,KO/TKO,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Siyar Bahadurzada,Luan Chagas,Welterweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,KO/TKO,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Corey Anderson,Patrick Cummins,Light Heavyweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Anthony Rocco Martin,Keita Nakamura,Welterweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Mark Munoz,Gegard Mousasi,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Submission,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Francis Carmont,CB Dollaway,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Luke Barnatt,Sean Strickland,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Split,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Tom Niinimaki,Niklas Backstrom,Featherweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Submission,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Nick Hein,Drew Dober,Lightweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Magnus Cedenblad,Krzysztof Jotko,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Submission,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Vaughan Lee,Iuri Alcantara,Bantamweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,KO/TKO,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
