,Unnamed: 0,W/L,Weight class,Method,Round,Time,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,fight_num,event_id
2,2,win,Light Heavyweight,U-DEC,3,5:00,Stephan Bonnar,Sam Hoger,0,0,43,11,3,1,1,2,3,3f24c96753dbd9f9
3,3,win,Middleweight,KO/TKO  Punches,1,0:42,Nate Quarry,Pete Sell,1,0,3,2,0,0,0,0,4,3f24c96753dbd9f9
4,4,win,Welterweight,SUB  Rear Naked Choke,1,1:53,Josh Koscheck,Pete Spratt,0,0,0,0,1,0,1,0,5,3f24c96753dbd9f9
5,5,win,Middleweight,KO/TKO  Punches,1,0:22,Mike Swick,Gideon Ray,1,0,7,1,0,0,0,0,6,3f24c96753dbd9f9
6,6,win,Welterweight,KO/TKO,2,2:52,Kenny Florian,Alex Karalexis,0,0,38,18,1,0,0,0,7,3f24c96753dbd9f9
7,7,win,Welterweight,SUB  Rear Naked Choke,1,1:35,Drew Fickett,Josh Neer,0,0,1,0,2,0,1,0,8,3f24c96753dbd9f9
0,0,win,Welterweight,KO/TKO  Punches,3,0:34,Kamaru Usman,Gilbert Burns,2,0,83,45,0,0,0,0,1,3f7c14c7eca7195d
1,1,win,Women's Flyweight,U-DEC,3,5:00,Alexa Grasso,Maycee Barber,0,0,38,40,0,3,1,0,2,3f7c14c7eca7195d
2,2,win,Middleweight,U-DEC,3,5:00,Kelvin Gastelum,Ian Heinisch,0,0,38,27,6,1,0,2,3,3f7c14c7eca7195d
3,3,win,Featherweight,U-DEC,3,5:00,Ricky Simon,Brian Kelleher,0,0,45,19,6,0,1,0,4,3f7c14c7eca7195d
4,4,win,Middleweight,SUB  Anaconda Choke,3,4:17,Julian Marquez,Maki Pitolo,0,0,41,32,0,5,4,1,5,3f7c14c7eca7195d
5,5,win,Middleweight,SUB  Guillotine Choke,2,1:53,Anthony Hernandez,Rodolfo Vieira,0,0,32,9,0,4,2,0,6,3f7c14c7eca7195d
6,6,win,Welterweight,U-DEC,3,5:00,Belal Muhammad,Dhiego Lima,0,0,129,69,1,0,0,0,7,3f7c14c7eca7195d
7,7,win,Women's Strawweight,SUB  Armbar,1,3:18,Polyana Viana,Mallory Martin,0,0,4,5,0,1,5,0,8,3f7c14c7eca7195d
8,8,win,Catch Weight,U-DEC,3,5:00,Chris Gutierrez,Andre Ewell,1,0,69,59,1,1,0,1,9,3f7c14c7eca7195d
9,9,win,Welterweight,U-DEC,3,5:00,Gabe Green,Phil Rowe,2,0,70,42,2,2,1,0,10,3f7c14c7eca7195d
0,0,win,Welterweight,KO/TKO  Kick,2,1:25,Georges St-Pierre,Matt Hughes,2,0,45,10,1,0,0,0,1,3fed746acfd026dd
1,1,win,Heavyweight,U-DEC,5,5:00,Tim Sylvia,Jeff Monson,0,0,49,12,0,1,1,2,2,3fed746acfd026dd
2,2,win,Light Heavyweight,KO/TKO  Punches,1,4:07,Drew McFedries,Alessio Sakara,1,0,30,32,1,0,0,0,3,3fed746acfd026dd
3,3,win,Heavyweight,KO/TKO  Punches,1,1:09,Brandon Vera,Frank Mir,0,0,15,2,0,0,0,0,4,3fed746acfd026dd
4,4,win,Lightweight,SUB  Guillotine Choke,1,2:07,Joe Stevenson,Dokonjonosuke Mishima,0,0,1,1,0,1,3,0,5,3fed746acfd026dd
5,5,win,Welterweight,KO/TKO  Punches,2,2:27,Nick Diaz,Gleison Tibau,0,0,24,0,0,0,1,1,6,3fed746acfd026dd
6,6,win,Heavyweight,KO/TKO  Punch,1,3:15,Antoni Hardonk,Sherman Pendergarst,1,0,10,4,0,1,0,0,7,3fed746acfd026dd
7,7,win,Light Heavyweight,KO/TKO  Punch,2,2:36,James Irvin,Hector Ramirez,1,0,17,33,0,3,0,1,8,3fed746acfd026dd
8,8,win,Heavyweight,U-DEC,3,5:00,Jake O'Brien,Josh Shockman,0,0,13,13,10,0,0,0,9,3fed746acfd026dd
0,0,win,Lightweight,SUB  Rear Naked Choke,4,2:38,Islam Makhachev,Thiago Moises,0,0,61,13,3,1,1,1,1,40389d39a92f5bfa
1,1,win,Women's Bantamweight,KO/TKO  Elbows,3,1:53,Miesha Tate,Marion Reneau,0,0,65,25,3,0,0,0,2,40389d39a92f5bfa
2,2,win,Lightweight,SUB  Kimura,1,1:05,Mateusz Gamrot,Jeremy Stephens,0,0,1,0,1,0,1,0,3,40389d39a92f5bfa
3,3,win,Middleweight,SUB  Rear Naked Choke,3,1:54,Rodolfo Vieira,Dustin Stoltzfus,0,0,49,67,3,0,1,0,4,40389d39a92f5bfa
4,4,win,Featherweight,KO/TKO  Punches,3,3:40,Billy Quarantillo,Gabriel Benitez,1,1,100,57,3,0,1,1,5,40389d39a92f5bfa
5,5,win,Welterweight,KO/TKO  Punches,1,3:47,Daniel Rodriguez,Preston Parsons,0,0,45,23,0,0,0,0,6,40389d39a92f5bfa
6,6,win,Women's Strawweight,KO/TKO  Punch,1,0:35,Amanda Lemos,Montserrat Conejo,1,0,7,3,0,0,0,0,7,40389d39a92f5bfa
7,7,win,Bantamweight,U-DEC,3,5:00,Sergey Morozov,Khalid Taha,0,0,50,33,6,0,0,0,8,40389d39a92f5bfa
8,8,win,Flyweight,U-DEC,3,5:00,Malcolm Gordon,Francisco Figueiredo,0,0,46,28,2,2,0,0,9,40389d39a92f5bfa
9,9,win,Heavyweight,KO/TKO  Punches,2,1:29,Rodrigo Nascimento,Alan Baudot,0,0,49,60,0,0,0,0,10,40389d39a92f5bfa
0,0,win,Light Heavyweight,SUB  Rear Naked Choke,3,1:49,Glover Teixeira,Thiago Santos,0,1,46,40,4,0,2,0,1,41dca66f9dadfc86
1,1,win,Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Tanner Boser,0,0,34,68,0,0,0,0,2,41dca66f9dadfc86
2,2,win,Bantamweight,U-DEC,3,5:00,Raoni Barcelos,Khalid Taha,0,0,120,49,2,0,1,0,3,41dca66f9dadfc86
3,3,win,Featherweight,KO/TKO  Kick,1,3:51,Giga Chikadze,Jamey Simmons,1,0,8,2,0,0,0,0,4,41dca66f9dadfc86
4,4,win,Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan,Claudia Gadelha,0,0,74,36,0,2,0,0,5,41dca66f9dadfc86
5,5,win,Middleweight,KO/TKO  Punches,3,1:26,Trevin Giles,Bevon Lewis,2,0,38,26,1,0,0,0,6,41dca66f9dadfc86
6,6,win,Heavyweight,SUB  Forearm Choke,1,4:48,Alexandr Romanov,Marcos Rogerio de Lima,0,0,6,18,2,0,1,0,7,41dca66f9dadfc86
7,7,win,Featherweight,SUB  Rear Naked Choke,3,2:22,Darren Elkins,Eduardo Garagorri,0,0,32,36,7,0,1,0,8,41dca66f9dadfc86
8,8,win,Welterweight,KO/TKO  Elbow,3,2:03,Max Griffin,Ramiz Brahimaj,0,0,74,45,0,0,0,0,9,41dca66f9dadfc86
9,9,win,Bantamweight,SUB  Rear Naked Choke,1,2:43,Gustavo Lopez,Anthony Birchak,0,0,26,17,2,0,1,0,10,41dca66f9dadfc86
0,0,win,Heavyweight,KO/TKO  Knee,1,1:26,Ken Shamrock,Kimo Leopoldo,1,0,12,4,0,0,0,0,1,429e7d3725852ce9
1,1,win,Welterweight,KO/TKO  Punches,1,4:15,Frank Trigg,Dennis Hallman,0,0,20,1,0,0,0,2,2,429e7d3725852ce9
2,2,win,Heavyweight,SUB  Armbar,1,0:50,Frank Mir,Tim Sylvia,0,0,3,2,0,1,1,0,3,429e7d3725852ce9
3,3,win,Welterweight,U-DEC,3,5:00,Matt Hughes,Renato Verissimo,0,0,11,7,3,0,1,4,4,429e7d3725852ce9
4,4,win,Middleweight,U-DEC,3,5:00,Evan Tanner,Phil Baroni,0,0,73,23,5,0,0,0,5,429e7d3725852ce9
5,5,win,Lightweight,U-DEC,3,5:00,Matt Serra,Ivan Menjivar,0,0,14,8,6,0,0,2,6,429e7d3725852ce9
6,6,win,Welterweight,KO/TKO  Punches,1,1:42,Georges St-Pierre,Jay Hieron,2,0,24,5,0,0,0,0,7,429e7d3725852ce9
7,7,win,Middleweight,SUB  Scarf Hold,2,1:05,Trevor Prangley,Curtis Stout,0,0,12,5,2,0,2,0,8,429e7d3725852ce9
0,0,win,Featherweight,KO/TKO  Elbow,5,4:59,Yair Rodriguez,Chan Sung Jung,1,0,119,126,0,0,0,0,1,42c96a9c4802e2e1
1,1,win,Welterweight,SUB  Armbar,1,4:46,Donald Cerrone,Mike Perry,0,0,9,11,0,1,1,0,2,42c96a9c4802e2e1
2,2,win,Women's Bantamweight,U-DEC,3,5:00,Germaine de Randamie,Raquel Pennington,0,0,42,24,0,0,0,0,3,42c96a9c4802e2e1
3,3,win,Lightweight,U-DEC,3,5:00,Beneil Dariush,Thiago Moises,0,0,44,8,4,0,2,4,4,42c96a9c4802e2e1
4,4,win,Women's Strawweight,KO/TKO  Punches,2,2:01,Maycee Barber,Hannah Cifers,0,0,68,41,1,0,0,0,5,42c96a9c4802e2e1
5,5,win,Lightweight,S-DEC,3,5:00,Michael Trizano,Luis Pena,0,0,51,23,1,1,1,0,6,42c96a9c4802e2e1
6,6,win,Women's Strawweight,S-DEC,3,5:00,Ashley Yoder,Amanda Cooper,0,0,38,51,1,2,3,2,7,42c96a9c4802e2e1
7,7,nc  nc,Featherweight,Overturned  D'Arce Choke,2,2:43,Chas Skelly,Bobby Moffett,0,0,30,20,1,1,0,1,8,42c96a9c4802e2e1
8,8,win,Lightweight,SUB  Rear Naked Choke,1,1:57,Davi Ramos,John Gunther,0,0,4,1,1,0,1,0,9,42c96a9c4802e2e1
9,9,win,Lightweight,KO/TKO  Punches,1,0:46,Devonte Smith,Julian Erosa,1,0,13,4,0,0,0,0,10,42c96a9c4802e2e1
10,10,win,Flyweight,S-DEC,3,5:00,Eric Shelton,Joseph Morales,0,0,16,24,7,1,0,4,11,42c96a9c4802e2e1
11,11,win,Bantamweight,S-DEC,3,5:00,Mark De La Rosa,Joby Sanchez,0,0,66,55,0,0,0,0,12,42c96a9c4802e2e1
0,0,win,Lightweight,KO/TKO  Punches,2,2:32,Dustin Poirier,Conor McGregor,1,0,48,29,1,0,0,0,1,4304992c2acc187b
1,1,win,Lightweight,KO/TKO  Punch,1,2:30,Michael Chandler,Dan Hooker,1,0,17,8,0,0,0,0,2,4304992c2acc187b
2,2,win,Women's Flyweight,U-DEC,3,5:00,Joanne Wood,Jessica Eye,0,0,148,77,1,1,0,0,3,4304992c2acc187b
3,3,win,Middleweight,KO/TKO  Punches,3,2:59,Makhmud Muradov,Andrew Sanchez,0,0,79,48,0,0,0,0,4,4304992c2acc187b
4,4,win,Women's Strawweight,KO/TKO  Punch,2,0:54,Marina Rodriguez,Amanda Ribas,1,0,15,7,0,1,0,0,5,4304992c2acc187b
5,5,win,Lightweight,U-DEC,3,5:00,Arman Tsarukyan,Matt Frevola,0,0,50,16,10,0,0,0,6,4304992c2acc187b
6,6,win,Middleweight,U-DEC,3,5:00,Brad Tavares,Antonio Carlos Junior,0,0,54,34,0,1,0,0,7,4304992c2acc187b
7,7,win,Women's Bantamweight,SUB  Rear Naked Choke,3,3:39,Julianna Pena,Sara McMann,0,0,38,21,1,3,1,0,8,4304992c2acc187b
8,8,win,Light Heavyweight,U-DEC,3,5:00,Marcin Prachnio,Khalil Rountree Jr.,0,0,102,49,0,0,0,0,9,4304992c2acc187b
9,9,win,Catch Weight,S-DEC,3,5:00,Movsar Evloev,Nik Lentz,0,0,82,46,2,1,0,2,10,4304992c2acc187b
10,10,win,Flyweight,U-DEC,3,5:00,Amir Albazi,Zhalgas Zhumagulov,0,0,68,59,2,1,0,0,11,4304992c2acc187b
0,0,nc  nc,Middleweight,Overturned,5,5:00,Anderson Silva,Nick Diaz,0,0,108,77,0,0,0,0,1,43563a32c3f10e95
1,1,win,Welterweight,S-DEC,3,5:00,Tyron Woodley,Kelvin Gastelum,0,0,27,32,0,0,0,0,2,43563a32c3f10e95
2,2,win,Lightweight,KO/TKO  Punches,2,3:34,Al Iaquinta,Joe Lauzon,1,0,59,32,1,0,0,0,3,43563a32c3f10e95
3,3,win,Middleweight,SUB  Arm Triangle,2,3:45,Thales Leites,Tim Boetsch,0,1,20,26,1,0,2,0,4,43563a32c3f10e95
4,4,win,Welterweight,KO/TKO  Kick,2,0:39,Thiago Alves,Jordan Mein,1,0,23,37,0,0,0,0,5,43563a32c3f10e95
5,5,win,Women's Bantamweight,M-DEC,3,5:00,Miesha Tate,Sara McMann,0,1,23,34,0,1,2,0,6,43563a32c3f10e95
6,6,win,Middleweight,KO/TKO  Punch,1,0:36,Derek Brunson,Ed Herman,1,0,11,0,0,0,0,0,7,43563a32c3f10e95
7,7,win,Flyweight,U-DEC,3,5:00,John Lineker,Ian McCall,0,0,38,40,0,1,3,0,8,43563a32c3f10e95
8,8,win,Middleweight,U-DEC,3,5:00,Rafael Natal,Tom Watson,0,0,67,29,8,0,0,0,9,43563a32c3f10e95
9,9,win,Middleweight,S-DEC,3,5:00,Ildemar Alcantara,Richardson Moreira,0,0,21,15,0,0,0,0,10,43563a32c3f10e95
10,10,win,Middleweight,KO/TKO  Punches,1,1:56,Thiago Santos,Andy Enz,1,0,20,1,0,0,0,0,11,43563a32c3f10e95
0,0,win,Welterweight,S-DEC,5,5:00,Jake Shields,Demian Maia,0,0,35,24,1,3,0,0,1,43612456979e5d5e
1,1,win,Welterweight,KO/TKO  Punch,2,3:01,Dong Hyun Kim,Erick Silva,1,0,11,28,1,0,0,0,2,43612456979e5d5e
2,2,win,Light Heavyweight,U-DEC,3,5:00,Thiago Silva,Matt Hamill,1,0,96,70,0,3,0,0,3,43612456979e5d5e
3,3,win,Light Heavyweight,S-DEC,3,5:00,Fabio Maldonado,Joey Beltran,0,0,87,57,0,1,1,0,4,43612456979e5d5e
4,4,win,Welterweight,SUB  Heel Hook,1,0:31,Rousimar Palhares,Mike Pierce,0,0,0,2,0,1,2,0,5,43612456979e5d5e
5,5,win,Bantamweight,S-DEC,3,5:00,Raphael Assuncao,TJ Dillashaw,0,0,32,29,0,2,1,3,6,43612456979e5d5e
6,6,win,Welterweight,U-DEC,3,5:00,Igor Araujo,Ildemar Alcantara,0,0,21,18,1,3,1,3,7,43612456979e5d5e
7,7,win,Welterweight,U-DEC,3,5:00,Yan Cabral,David Mitchell,1,0,18,5,4,0,1,1,8,43612456979e5d5e
8,8,win,Flyweight,KO/TKO  Punches,2,4:31,Chris Cariaso,Iliarde Santos,0,0,54,35,0,2,0,0,9,43612456979e5d5e
9,9,win,Lightweight,KO/TKO  Punch,1,3:54,Alan Patrick,Garett Whiteley,1,0,16,7,1,0,0,0,10,43612456979e5d5e
0,0,win,Welterweight,M-DEC,3,5:00,Jonathan Goulet,Luke Cummo,0,2,18,13,6,0,0,3,1,445a98acb8985970
1,1,win,Middleweight,KO/TKO  Punches,1,0:49,Anderson Silva,Chris Leben,2,0,17,1,0,0,0,0,2,445a98acb8985970
2,2,win,Light Heavyweight,M-DEC,3,5:00,Rashad Evans,Stephan Bonnar,0,0,17,12,7,0,0,2,3,445a98acb8985970
3,3,win,Lightweight,U-DEC,3,5:00,Mark Hominick,Jorge Gurgel,0,0,43,36,0,0,0,0,4,445a98acb8985970
4,4,win,Welterweight,U-DEC,3,5:00,Josh Koscheck,Dave Menne,0,0,45,13,4,1,1,5,5,445a98acb8985970
5,5,win,Light Heavyweight,KO/TKO  Punches,1,5:00,Jason Lambert,Branden Lee Hinkle,0,0,44,4,0,3,1,0,6,445a98acb8985970
6,6,win,Welterweight,KO/TKO  Kick,2,4:37,Jon Fitch,Thiago Alves,1,0,51,1,3,1,2,3,7,445a98acb8985970
7,7,win,Light Heavyweight,SUB  Armbar,1,4:01,Rob MacDonald,Kristian Rothaermel,0,0,10,3,4,0,3,0,8,445a98acb8985970
8,8,win,Middleweight,KO/TKO  Knee,1,2:13,Jorge Santiago,Justin Levens,1,0,9,0,1,0,0,0,9,445a98acb8985970
0,0,win,Heavyweight,KO/TKO  Punches,2,1:06,Curtis Blaydes,Junior Dos Santos,0,0,28,7,0,0,0,0,1,44aa652b181bcf68
1,1,win,Welterweight,U-DEC,3,5:00,Michael Chiesa,Rafael Dos Anjos,0,0,9,14,6,0,0,0,2,44aa652b181bcf68
2,2,win,Flyweight,SUB  Arm Triangle,1,2:33,Alex Perez,Jordan Espinosa,0,0,2,2,1,0,1,0,3,44aa652b181bcf68
3,3,win,Women's Strawweight,KO/TKO  Elbows,2,4:26,Angela Hill,Hannah Cifers,0,0,70,46,1,0,0,0,4,44aa652b181bcf68
4,4,win,Light Heavyweight,U-DEC,3,5:00,Jamahal Hill,Darko Stosic,0,0,101,31,0,6,0,0,5,44aa652b181bcf68
5,5,win,Middleweight,U-DEC,3,5:00,Bevon Lewis,Dequan Townsend,0,0,36,28,0,0,0,0,6,44aa652b181bcf68
6,6,win,Featherweight,U-DEC,3,5:00,Arnold Allen,Nik Lentz,0,0,63,49,0,0,0,0,7,44aa652b181bcf68
7,7,win,Women's Flyweight,U-DEC,3,5:00,Justine Kish,Lucie Pudilova,0,0,62,29,1,0,0,0,8,44aa652b181bcf68
8,8,win,Bantamweight,U-DEC,3,5:00,Montel Jackson,Felipe Colares,1,0,75,7,11,1,0,3,9,44aa652b181bcf68
9,9,win,Women's Bantamweight,U-DEC,3,5:00,Sara McMann,Lina Lansberg,0,0,38,1,3,0,1,0,10,44aa652b181bcf68
10,10,win,Bantamweight,SUB  Rear Naked Choke,3,2:53,Brett Johns,Tony Gravely,0,0,36,26,6,5,3,0,11,44aa652b181bcf68
11,11,win,Featherweight,KO/TKO  Knee,1,2:43,Herbert Burns,Nate Landwehr,1,0,7,4,1,0,1,0,12,44aa652b181bcf68
0,0,win,Bantamweight,U-DEC,5,5:00,Dominick Cruz,Demetrious Johnson,0,0,60,63,10,1,1,0,1,44f9c777fed7ca03
1,1,win,Heavyweight,SUB  Triangle Choke,2,3:22,Stefan Struve,Pat Barry,0,0,31,30,0,0,1,0,2,44f9c777fed7ca03
2,2,win,Welterweight,KO/TKO  Kick,1,2:49,Anthony Johnson,Charlie Brenneman,1,0,16,1,0,0,0,0,3,44f9c777fed7ca03
3,3,win,Lightweight,U-DEC,3,5:00,Matt Wiman,Mac Danzig,0,0,93,66,2,2,1,1,4,44f9c777fed7ca03
4,4,win,Lightweight,KO/TKO  Kick,2,2:44,Yves Edwards,Rafaello Oliveira,2,0,42,22,0,0,0,0,5,44f9c777fed7ca03
5,5,win,Lightweight,SUB  Heel Hook,1,3:00,Paul Sass,Michael Johnson,0,0,2,8,0,0,3,0,6,44f9c777fed7ca03
6,6,win,Bantamweight,KO/TKO  Knee,2,4:52,Mike Easton,Byron Bloodworth,1,0,31,17,0,0,0,0,7,44f9c777fed7ca03
7,7,win,Lightweight,SUB  Armbar,3,2:12,TJ Grant,Shane Roller,0,0,24,10,2,1,3,2,8,44f9c777fed7ca03
8,8,win,Welterweight,KO/TKO,2,5:00,Josh Neer,Keith Wisniewski,0,0,93,41,0,0,1,0,9,44f9c777fed7ca03
9,9,win,Bantamweight,KO/TKO  Punches,1,1:17,Walel Watson,Joseph Sandoval,2,0,9,0,0,0,0,0,10,44f9c777fed7ca03
0,0,win,Women's Bantamweight,SUB  Armbar,2,4:29,Valentina Shevchenko,Julianna Pena,0,0,13,27,2,1,1,0,1,4512e46543b960ad
1,1,win,Welterweight,KO/TKO  Punches,2,1:00,Jorge Masvidal,Donald Cerrone,2,0,58,30,0,0,0,0,2,4512e46543b960ad
2,2,win,Heavyweight,KO/TKO  Punch,1,1:32,Francis Ngannou,Andrei Arlovski,1,0,8,3,0,0,0,0,3,4512e46543b960ad
3,3,win,Featherweight,SUB  Rear Naked Choke,2,4:21,Jason Knight,Alex Caceres,0,0,31,27,2,0,4,0,4,4512e46543b960ad
4,4,win,Middleweight,U-DEC,3,5:00,Sam Alvey,Nate Marquardt,0,0,36,28,0,1,0,0,5,4512e46543b960ad
5,5,win,Bantamweight,S-DEC,3,5:00,Raphael Assuncao,Aljamain Sterling,0,0,39,52,0,0,0,0,6,4512e46543b960ad
6,6,win,Welterweight,KO/TKO  Punch,2,4:45,Li Jingliang,Bobby Nash,1,1,37,39,0,1,0,2,7,4512e46543b960ad
7,7,win,Light Heavyweight,U-DEC,3,5:00,Jordan Johnson,Henrique da Silva,0,0,39,22,4,0,2,0,8,4512e46543b960ad
8,8,win,Middleweight,SUB  Triangle Choke,1,2:14,Eric Spicely,Alessio Di Chirico,0,0,1,1,1,0,1,0,9,4512e46543b960ad
9,9,win,Light Heavyweight,KO/TKO  Punches,1,2:27,Marcos Rogerio de Lima,Jeremy Kimball,0,0,12,5,0,0,0,0,10,4512e46543b960ad
10,10,win,Flyweight,S-DEC,3,5:00,Alexandre Pantoja,Eric Shelton,0,0,37,32,1,4,2,0,11,4512e46543b960ad
11,11,win,Lightweight,SUB  D'Arce Choke,1,3:54,Jason Gonzalez,JC Cottrell,0,0,4,1,0,1,1,0,12,4512e46543b960ad
0,0,win,Welterweight,KO/TKO  Punch,5,4:10,Kamaru Usman,Colby Covington,2,0,175,143,0,0,0,0,1,4565d435005319c0
1,1,win,Featherweight,U-DEC,5,5:00,Alexander Volkanovski,Max Holloway,0,0,157,134,0,0,0,0,2,4565d435005319c0
2,2,win,Women's Bantamweight,U-DEC,5,5:00,Amanda Nunes,Germaine de Randamie,0,0,79,40,8,0,2,1,3,4565d435005319c0
3,3,win,Bantamweight,S-DEC,3,5:00,Marlon Moraes,Jose Aldo,0,0,59,58,1,0,0,0,4,4565d435005319c0
4,4,win,Bantamweight,KO/TKO  Kick,3,0:43,Petr Yan,Urijah Faber,3,0,54,18,2,0,0,0,5,4565d435005319c0
5,5,win,Welterweight,KO/TKO  Punches,1,1:30,Geoff Neal,Mike Perry,1,0,15,5,0,0,0,0,6,4565d435005319c0
6,6,win,Women's Bantamweight,KO/TKO  Punch,1,4:51,Irene Aldana,Ketlen Vieira,1,0,26,20,0,0,0,0,7,4565d435005319c0
7,7,win,Middleweight,U-DEC,3,5:00,Omari Akhmedov,Ian Heinisch,0,0,55,53,2,3,0,0,8,4565d435005319c0
8,8,win,Welterweight,KO/TKO  Punches,2,4:55,Matt Brown,Ben Saunders,0,0,30,12,2,0,0,4,9,4565d435005319c0
9,9,win,Featherweight,KO/TKO  Elbows,1,4:34,Chase Hooper,Daniel Teymur,0,0,20,2,1,0,2,1,10,4565d435005319c0
10,10,win,Flyweight,U-DEC,3,5:00,Brandon Moreno,Kai Kara-France,0,0,91,82,0,0,0,0,11,4565d435005319c0
11,11,win,Women's Flyweight,U-DEC,3,5:00,Jessica Eye,Viviane Araujo,0,0,98,56,0,2,0,0,12,4565d435005319c0
12,12,win,Middleweight,KO/TKO  Punch,1,3:17,Punahele Soriano,Oskar Piechota,2,0,26,8,1,0,0,0,13,4565d435005319c0
0,0,win,Lightweight,KO/TKO  Punches,1,3:49,Eddie Alvarez,Rafael Dos Anjos,0,0,45,12,1,0,0,0,1,45a2ba3ef82b9700
1,1,win,Heavyweight,S-DEC,3,5:00,Derrick Lewis,Roy Nelson,0,0,37,4,0,7,0,0,2,45a2ba3ef82b9700
2,2,win,Welterweight,U-DEC,3,5:00,Alan Jouban,Belal Muhammad,3,0,86,77,0,2,0,0,3,45a2ba3ef82b9700
3,3,win,Lightweight,SUB  Rear Naked Choke,1,0:25,Joe Duffy,Mitch Clarke,1,0,3,1,0,0,1,0,4,45a2ba3ef82b9700
4,4,win,Welterweight,KO/TKO  Flying Knee,2,1:17,Alberto Mina,Mike Pyle,1,0,16,2,2,0,0,1,5,45a2ba3ef82b9700
5,5,win,Lightweight,S-DEC,3,5:00,John Makdessi,Mehdi Baghdad,0,1,84,60,0,0,0,0,6,45a2ba3ef82b9700
6,6,win,Bantamweight,S-DEC,3,5:00,Anthony Birchak,Dileno Lopes,0,0,41,25,0,2,0,0,7,45a2ba3ef82b9700
7,7,win,Bantamweight,SUB  Guillotine Choke,1,2:08,Pedro Munhoz,Russell Doane,0,0,14,18,1,0,1,0,8,45a2ba3ef82b9700
8,8,win,Bantamweight,SUB  Armbar,2,1:39,Felipe Arantes,Jerrod Sanders,0,0,3,6,0,1,1,0,9,45a2ba3ef82b9700
9,9,win,Lightweight,SUB  Armbar,1,4:57,Gilbert Burns,Lukasz Sajewski,0,0,13,14,1,0,1,0,10,45a2ba3ef82b9700
10,10,win,Bantamweight,SUB  Rear Naked Choke,2,3:04,Marco Beltran,Reginaldo Vieira,1,0,20,20,0,3,1,0,11,45a2ba3ef82b9700
11,11,win,Welterweight,SUB  D'Arce Choke,2,3:52,Vicente Luque,Alvaro Herrera Mendoza,0,0,25,12,4,0,1,0,12,45a2ba3ef82b9700
0,0,win,Heavyweight,KO/TKO  Kick,1,4:51,Gabriel Gonzaga,Mirko Filipovic,1,0,19,1,1,0,0,0,1,4604ab1de9058474
1,1,win,Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Fabricio Werdum,1,0,28,23,0,0,0,0,2,4604ab1de9058474
2,2,win,Light Heavyweight,KO/TKO  Punches,2,1:40,Michael Bisping,Elvis Sinosic,0,1,36,8,1,0,0,2,3,4604ab1de9058474
3,3,win,Light Heavyweight,U-DEC,3,5:00,Lyoto Machida,David Heath,1,0,67,8,0,0,1,0,4,4604ab1de9058474
4,4,win,Heavyweight,M-DEC,3,5:00,Cheick Kongo,Assuerio Silva,0,0,64,13,0,6,1,0,5,4604ab1de9058474
5,5,win,Lightweight,SUB  Guillotine Choke,1,4:48,Terry Etim,Matt Grice,0,0,5,26,0,1,3,0,6,4604ab1de9058474
6,6,win,Lightweight,SUB  Rear Naked Choke,2,1:55,Junior Assuncao,David Lee,1,0,29,12,0,0,2,0,7,4604ab1de9058474
7,7,win,Light Heavyweight,KO/TKO  Punch,1,1:44,Alessio Sakara,Victor Valimaki,0,0,6,0,0,0,0,0,8,4604ab1de9058474
8,8,win,Welterweight,SUB  Armbar,1,1:21,Jess Liaudin,Dennis Siver,0,0,1,2,0,1,1,0,9,4604ab1de9058474
9,9,win,Welterweight,KO/TKO  Kick,3,0:37,Paul Taylor,Edilberto de Oliveira,1,0,78,46,0,0,0,0,10,4604ab1de9058474
0,0,win,Bantamweight,SUB  Arm Triangle,4,3:57,Renan Barao,Michael McDonald,0,0,36,26,4,0,1,0,1,4679a38cced7c64a
1,1,win,Featherweight,U-DEC,3,5:00,Cub Swanson,Dustin Poirier,0,0,58,58,2,2,0,0,2,4679a38cced7c64a
2,2,win,Light Heavyweight,KO/TKO,1,5:00,Jimi Manuwa,Cyrille Diabate,0,0,18,9,3,0,0,0,3,4679a38cced7c64a
3,3,win,Welterweight,U-DEC,3,5:00,Gunnar Nelson,Jorge Santiago,0,0,42,43,2,0,0,0,4,4679a38cced7c64a
4,4,win,Light Heavyweight,U-DEC,3,5:00,James Te Huna,Ryan Jimmo,0,1,49,34,2,0,0,0,5,4679a38cced7c64a
5,5,nc  nc,Welterweight,Overturned,3,5:00,Che Mills,Matthew Riddle,0,0,28,23,0,5,0,0,6,4679a38cced7c64a
6,6,win,Lightweight,U-DEC,3,5:00,Renee Forte,Terry Etim,1,0,47,13,2,0,0,0,7,4679a38cced7c64a
7,7,win,Lightweight,U-DEC,3,5:00,Danny Castillo,Paul Sass,0,0,38,4,4,0,0,5,8,4679a38cced7c64a
8,8,win,Featherweight,U-DEC,3,5:00,Andy Ogle,Josh Grispi,0,0,19,7,2,1,0,2,9,4679a38cced7c64a
9,9,win,Middleweight,KO/TKO  Knee,2,4:42,Tom Watson,Stanislav Nedkov,1,0,56,39,0,5,0,0,10,4679a38cced7c64a
10,10,win,Bantamweight,U-DEC,3,5:00,Vaughan Lee,Motonobu Tezuka,0,0,20,4,0,1,0,1,11,4679a38cced7c64a
